,Unnamed: 0,record_date,avg_outflow,Unnamed: 0,record_date,avg_inflow,feeder1_kwh,feeder2_kwh,Ammonia_mg_L_1,BOD_mg_L_1,COD_mg_L_1,Nitrogentotal_mg_L_1,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day,record_date
0,0,2009-01-01,2.9412818181818183,0,2009-01-01,2.5889181818181815,105695,70161,27.0,365.0,730.0,60.37784,19.3,25.1,12.6,0.0,56,1.52,10.0,26.9,53.5,79.5,2014,1,1,01-01-2014
1,1,2009-02-01,2.935526086956522,1,2009-02-01,2.9611782608695654,111836,69788,25.0,370.0,740.0,60.02615,17.1,23.6,12.3,0.0,63,0.0,10.0,14.4,27.8,0.0,2014,1,2,02-01-2014
2,2,2009-03-01,2.9282217391304344,2,2009-03-01,3.2253086956521737,140088,61928,42.0,418.0,836.0,64.52231,16.8,27.2,8.8,0.0,47,0.25,10.0,31.9,61.1,77.8,2014,1,5,05-01-2014
3,3,2009-04-01,2.9279608695652173,3,2009-04-01,3.3540913043478264,140121,67426,36.0,430.0,850.0,63.0,14.6,19.9,11.1,0.0,49,0.0,10.0,27.0,38.9,53.5,2014,1,6,06-01-2014
4,4,2009-05-01,2.917221739130435,4,2009-05-01,3.7940043478260868,135260,67564,46.0,508.0,1016.0,65.59026999999999,13.4,19.1,8.0,0.0,65,0.0,10.0,20.6,35.2,53.5,2014,1,7,07-01-2014
5,5,2009-06-01,2.911569565217392,5,2009-06-01,3.7501782608695637,164094,83597,40.0,410.0,820.0,61.78566,18.9,27.3,7.7,0.0,52,0.0,0.0,15.6,31.7,0.0,2014,1,8,08-01-2014
6,6,2009-07-01,2.3550043478260867,6,2009-07-01,3.5067,147041,77665,51.0,555.0,1110.0,68.82016999999999,25.9,32.4,12.1,0.0,39,0.0,0.0,26.7,46.5,59.4,2014,1,9,09-01-2014
7,7,2009-08-01,2.3656565217391314,7,2009-08-01,3.187569565217392,145786,66654,41.0,365.0,730.0,62.217569999999995,17.7,24.6,13.0,0.0,69,0.0,9.8,13.1,25.9,0.0,2014,1,12,12-01-2014
8,8,2009-09-01,3.9233086956521737,8,2009-09-01,3.377786956521738,133716,68960,26.0,355.0,710.0,61.43322,26.4,36.0,12.7,0.0,44,0.0,0.0,19.8,51.9,64.8,2014,1,13,13-01-2014
9,9,2009-10-01,3.912004347826087,9,2009-10-01,3.424656521739131,130663,71748,42.0,530.0,830.0,66.35405,35.5,43.5,28.5,0.0,20,0.0,0.0,27.8,57.6,72.2,2014,1,14,14-01-2014
10,10,2009-11-01,2.9706130434782603,10,2009-11-01,3.7748739130434785,114744,56379,47.0,435.0,870.0,65.53128000000001,32.1,42.9,23.7,0.0,29,0.0,0.0,18.0,35.2,0.0,2014,1,15,15-01-2014
11,11,2009-12-01,3.8331782608695657,11,2009-12-01,3.763482608695652,130215,63294,43.0,295.0,590.0,59.54811,33.9,43.1,23.7,0.0,24,0.0,0.0,19.3,46.5,0.0,2014,1,16,16-01-2014
12,12,2009-01-13,2.9835695652173917,12,2009-01-13,3.4873086956521746,135012,70749,38.0,600.0,1200.0,68.82016999999999,19.2,23.1,15.2,0.0,64,0.0,10.0,24.8,31.7,0.0,2014,1,19,19-01-2014
13,13,2009-01-14,3.2356565217391307,13,2009-01-14,3.6044391304347823,122308,61800,38.0,465.0,930.0,64.56801,18.4,24.7,15.8,0.0,66,0.0,10.0,25.6,35.2,0.0,2014,1,20,20-01-2014
14,14,2009-01-15,2.9502652173913035,14,2009-01-15,3.6004391304347823,128859,71185,38.0,505.5,1011.0,65.59026999999999,17.6,22.6,14.0,0.0,61,0.0,10.0,25.0,37.0,46.5,2014,1,21,21-01-2014
15,15,2009-01-16,2.9349173913043467,15,2009-01-16,3.481265217391305,116325,57500,47.0,470.0,980.0,76.0,16.3,23.4,10.0,0.0,59,0.0,0.0,17.4,29.4,0.0,2014,1,22,22-01-2014
16,16,2009-01-17,2.9370478260869564,16,2009-01-17,3.623308695652174,156157,74475,39.0,431.0,862.0,64.84683000000001,23.6,33.7,10.2,0.0,52,1.52,8.5,14.8,27.8,46.5,2014,1,23,23-01-2014
17,17,2009-01-18,3.3080478260869564,17,2009-01-18,3.7846130434782608,151286,85186,45.0,380.0,760.0,62.08951999999999,16.3,22.8,12.8,0.0,72,4.32,10.0,21.9,31.7,0.0,2014,1,24,24-01-2014
18,18,2009-01-19,2.9333521739130446,18,2009-01-19,3.5958739130434783,142275,71782,36.0,345.0,690.0,63.227059999999994,29.3,35.5,16.7,0.0,26,0.0,0.0,32.6,48.2,66.5,2014,1,27,27-01-2014
19,19,2009-01-20,2.9400913043478263,19,2009-01-20,3.6423956521739136,133686,70376,29.0,286.5,573.0,54.63033000000001,27.2,42.1,17.6,0.0,34,0.0,10.0,25.7,51.9,70.6,2014,1,28,28-01-2014
20,20,2009-01-21,3.4273086956521737,20,2009-01-21,3.5193521739130427,154856,90668,31.0,360.0,720.0,61.49553,17.7,23.7,13.0,0.0,64,0.0,10.0,20.2,33.5,46.5,2014,1,29,29-01-2014
21,21,2009-01-22,2.979830434782609,21,2009-01-22,3.5405695652173925,147257,82856,38.0,380.0,840.0,65.37449000000001,22.6,31.1,12.9,0.0,55,0.0,8.0,13.3,22.2,0.0,2014,1,30,30-01-2014
22,22,2009-01-23,2.9969608695652177,22,2009-01-23,3.5261347826086964,141756,72879,43.0,344.0,688.0,63.520759999999996,31.7,40.5,23.0,0.0,23,0.0,0.0,15.6,33.5,46.5,2014,2,2,02-02-2014
23,23,2009-01-24,2.977917391304348,23,2009-01-24,3.5417,137889,72128,44.0,390.5,781.0,62.56926,19.2,0.0,13.8,0.0,56,0.51,10.0,29.6,38.9,57.6,2014,2,3,03-02-2014
24,24,2009-01-25,2.982960869565218,24,2009-01-25,3.3322652173913037,122886,78507,35.0,391.5,783.0,62.218090000000004,17.7,25.0,10.8,0.0,54,0.0,10.0,25.7,44.6,59.4,2014,2,4,04-02-2014
25,25,2009-01-26,2.9894826086956523,25,2009-01-26,3.2493521739130444,120610,80968,48.0,270.0,740.0,55.0,22.5,30.9,10.6,0.0,42,0.0,0.0,20.0,51.9,0.0,2014,2,5,05-02-2014
26,26,2009-01-27,2.991221739130435,26,2009-01-27,3.4078739130434785,109227,81301,46.0,385.0,770.0,63.38009,28.7,35.3,14.2,0.0,27,0.0,0.0,29.8,51.9,59.4,2014,2,6,06-02-2014
27,27,2009-01-28,2.9890913043478267,27,2009-01-28,3.4975260869565226,102885,75028,41.0,377.5,755.0,62.37112,21.8,0.0,13.0,0.0,36,0.0,10.0,25.4,57.6,79.5,2014,2,9,09-02-2014
28,28,2009-01-29,2.9673086956521737,28,2009-01-29,3.4876565217391304,98549,76345,34.0,435.5,871.0,64.36551999999999,17.6,23.7,12.0,0.0,61,0.0,9.7,20.6,31.7,0.0,2014,2,10,10-02-2014
29,29,2009-01-30,2.965221739130435,29,2009-01-30,3.448221739130435,113669,83246,36.0,320.0,871.0,64.30112,20.1,27.3,11.9,0.0,68,0.0,6.4,14.8,20.6,0.0,2014,2,11,11-02-2014
30,30,2009-01-31,3.6253956521739132,30,2009-01-31,3.426265217391304,96733,67648,35.0,420.5,841.0,64.30112,22.1,28.1,14.9,0.0,69,0.0,7.7,13.9,24.1,0.0,2014,2,12,12-02-2014
31,31,2009-01-02,2.9905695652173923,31,2009-01-02,3.4555260869565214,145162,86103,37.0,416.5,833.0,64.36551999999999,22.6,26.4,17.7,0.0,62,0.0,8.2,8.1,16.5,0.0,2014,2,13,13-02-2014
32,32,2009-02-02,2.995134782608696,32,2009-02-02,3.6114826086956513,105750,72835,37.0,357.5,715.0,61.82505,17.1,23.0,12.7,0.0,68,0.25,10.0,19.8,35.2,48.2,2014,2,16,16-02-2014
33,33,2009-03-02,3.3561782608695663,33,2009-03-02,3.600786956521738,112915,90125,33.0,330.0,828.0,58.0,18.1,25.7,11.8,0.0,60,0.0,10.0,12.6,25.9,0.0,2014,2,17,17-02-2014
34,34,2009-04-02,2.9698739130434784,34,2009-04-02,3.703482608695652,123236,89335,37.0,453.5,907.0,65.42019,21.6,31.9,11.5,0.0,57,0.0,10.0,15.4,27.8,0.0,2014,2,18,18-02-2014
35,35,2009-05-02,3.812308695652174,35,2009-05-02,3.5850043478260867,129551,82246,37.0,405.5,811.0,62.02319,15.7,25.7,10.0,0.0,65,7.37,9.2,22.8,51.9,53.5,2014,2,19,19-02-2014
36,36,2009-06-02,3.092482608695652,36,2009-06-02,3.5613956521739127,134654,82714,30.0,404.5,809.0,62.218090000000004,14.9,20.2,10.0,0.0,55,0.0,10.0,27.4,44.6,63.0,2014,2,20,20-02-2014
37,37,2009-07-02,3.1285260869565232,37,2009-07-02,3.5194391304347827,109249,77717,30.0,280.0,949.0,64.36551999999999,17.4,24.6,12.8,0.0,67,0.0,10.0,11.3,22.2,0.0,2014,2,23,23-02-2014
38,38,2009-08-02,2.721134782608696,38,2009-08-02,3.390004347826087,152268,80902,37.0,421.5,843.0,64.52231,19.2,30.0,12.5,0.0,62,0.0,0.0,17.0,42.4,55.4,2014,2,24,24-02-2014
39,39,2009-09-02,2.9942652173913045,39,2009-09-02,3.478265217391303,154773,85253,37.0,472.0,944.0,65.87765,21.1,36.4,12.0,0.0,50,0.0,10.0,20.4,38.9,57.6,2014,2,25,25-02-2014
40,40,2009-10-02,2.9773956521739127,40,2009-10-02,3.5640913043478264,140453,80679,44.0,489.5,979.0,65.59026999999999,15.5,21.5,10.0,0.0,61,0.0,9.7,20.0,35.2,0.0,2014,2,26,26-02-2014
41,41,2009-11-02,3.1457434782608704,41,2009-11-02,3.6702652173913037,127481,62272,41.0,434.5,869.0,64.52231,15.2,21.3,9.6,0.0,59,0.0,10.0,23.3,35.2,42.4,2014,2,27,27-02-2014
42,42,2009-12-02,3.169917391304348,42,2009-12-02,3.5632217391304337,135801,112834,42.0,351.0,702.0,62.1601,17.0,23.0,12.0,0.0,67,0.0,10.0,15.0,27.8,0.0,2014,3,2,02-03-2014
43,43,2009-02-13,3.177134782608696,43,2009-02-13,3.5690043478260867,131289,95335,37.0,320.0,870.0,66.0,19.8,27.0,11.8,0.0,65,0.0,10.0,16.1,42.4,0.0,2014,3,3,03-03-2014
44,44,2009-02-14,3.1749173913043482,44,2009-02-14,3.4413956521739135,123894,84446,34.0,437.0,874.0,65.53128000000001,26.7,34.1,13.5,0.0,42,0.0,10.0,24.8,38.9,0.0,2014,3,4,04-03-2014
45,45,2009-02-15,3.1821347826086965,45,2009-02-15,3.5050913043478262,121713,95749,33.0,400.5,801.0,61.8664,16.1,25.9,13.6,0.0,63,0.0,10.0,21.9,27.8,0.0,2014,3,5,05-03-2014
46,46,2009-02-16,3.5953521739130436,46,2009-02-16,3.5214391304347825,120864,111298,39.0,477.5,955.0,65.59026999999999,15.7,21.0,11.7,0.0,61,0.0,10.0,17.4,25.9,0.0,2014,3,6,06-03-2014
47,47,2009-02-17,3.0439608695652174,47,2009-02-17,3.5713956521739134,108919,104568,39.0,434.0,868.0,64.30112,18.1,22.7,11.6,0.0,74,0.0,10.0,17.0,31.7,0.0,2014,3,7,07-03-2014
48,48,2009-02-18,3.0328739130434785,48,2009-02-18,3.448265217391305,138965,88744,39.0,410.0,820.0,63.578230000000005,24.5,35.2,17.7,0.0,37,0.0,0.0,17.0,38.9,0.0,2014,3,10,10-03-2014
49,49,2009-02-19,3.155656521739132,49,2009-02-19,3.5985260869565217,147215,101993,48.0,360.0,840.0,65.53128000000001,21.5,32.1,14.0,0.0,60,3.3,10.0,17.0,35.2,46.5,2014,3,11,11-03-2014
50,50,2009-02-20,3.1551347826086964,50,2009-02-20,3.3493521739130427,132735,95724,44.0,465.0,930.0,64.41122,15.6,21.3,9.7,0.0,59,0.0,10.0,16.3,29.4,0.0,2014,3,12,12-03-2014
51,51,2009-02-21,3.1447869565217386,51,2009-02-21,3.309569565217392,130373,99665,41.0,405.0,810.0,62.217569999999995,17.2,23.7,9.6,0.0,66,0.0,10.0,13.0,25.9,0.0,2014,3,13,13-03-2014
52,52,2009-02-22,3.1578304347826087,52,2009-02-22,3.4992217391304354,104585,94496,42.0,355.0,710.0,62.37112,15.7,20.0,10.8,0.0,52,1.02,10.0,21.0,42.4,59.4,2014,3,16,16-03-2014
53,53,2009-02-23,3.151395652173913,53,2009-02-23,3.4760043478260867,109926,91639,36.0,375.0,750.0,61.82505,18.3,25.3,11.6,0.0,65,0.0,10.0,18.5,35.2,51.9,2014,3,17,17-03-2014
54,54,2009-02-24,3.1573521739130435,54,2009-02-24,3.4022652173913044,148468,91306,31.0,425.0,850.0,64.36551999999999,16.7,25.1,9.6,0.0,62,0.0,10.0,14.1,25.9,0.0,2014,3,18,18-03-2014
55,55,2009-02-25,3.1577434782608704,55,2009-02-25,3.3596130434782605,126409,96037,35.0,530.0,930.0,65.0,15.6,23.0,9.2,0.0,66,0.0,10.0,15.4,29.4,0.0,2014,3,19,19-03-2014
56,56,2009-02-26,3.021352173913044,56,2009-02-26,3.400004347826086,120360,99081,35.0,457.5,915.0,65.57696999999999,23.1,31.1,9.2,0.0,28,0.0,0.0,22.6,37.0,51.9,2014,3,20,20-03-2014
57,57,2009-02-27,2.48174347826087,57,2009-02-27,3.4509608695652174,120676,110161,40.0,485.0,970.0,65.59026999999999,13.2,16.8,9.0,0.0,66,0.0,9.8,13.5,27.8,0.0,2014,3,23,23-03-2014
58,58,2009-02-28,3.063352173913043,58,2009-02-28,3.4264826086956517,138660,97645,32.0,422.5,845.0,64.30112,14.7,18.3,8.9,0.0,76,1.02,10.0,15.0,25.9,0.0,2014,3,24,24-03-2014
59,59,2009-01-03,3.0770043478260867,59,2009-01-03,3.4269608695652174,136477,96568,30.0,462.5,925.0,64.41122,18.3,24.3,11.9,0.0,66,0.0,10.0,11.7,22.2,0.0,2014,3,25,25-03-2014
60,60,2009-02-03,2.7346130434782605,60,2009-02-03,3.444178260869565,136911,107636,46.0,422.5,845.0,64.30112,20.3,27.3,12.5,0.0,70,5.59,8.9,11.9,27.8,0.0,2014,3,26,26-03-2014
61,61,2009-03-03,2.971526086956522,61,2009-03-03,3.4307,133662,99912,34.0,450.0,855.0,64.41122,19.6,25.9,15.9,0.0,84,7.87,8.9,12.6,29.4,0.0,2014,3,27,27-03-2014
62,62,2009-04-03,2.99678695652174,62,2009-04-03,3.5164826086956524,127516,118704,41.0,415.0,830.0,64.41245,20.2,26.6,14.0,0.0,69,0.0,10.0,15.2,38.9,0.0,2014,3,30,30-03-2014
63,63,2009-05-03,3.0027,63,2009-05-03,3.5675695652173913,147097,120302,35.0,420.0,840.0,65.48581999999999,25.2,32.0,15.4,0.0,43,0.0,0.0,23.5,42.4,0.0,2014,3,31,31-03-2014
64,64,2009-06-03,3.004395652173913,64,2009-06-03,3.6520043478260873,150965,138223,41.0,472.5,945.0,66.35405,26.9,33.7,51.5,0.0,38,0.0,0.0,34.6,46.5,72.2,2014,4,1,01-04-2014
65,65,2009-07-03,2.9363086956521736,65,2009-07-03,3.4442217391304344,126486,115314,37.0,380.0,920.0,64.0,16.9,26.0,13.0,0.0,80,0.0,9.3,16.7,37.0,0.0,2014,4,2,02-04-2014
66,66,2009-08-03,2.9704826086956517,66,2009-08-03,3.4164826086956515,134054,123303,37.0,457.5,915.0,64.36576,15.1,17.3,13.3,0.0,70,0.25,10.0,22.2,31.7,0.0,2014,4,3,03-04-2014
67,67,2009-09-03,2.9703086956521743,67,2009-09-03,3.190786956521739,131232,123585,40.0,405.0,810.0,62.374359999999996,16.4,23.2,11.0,0.0,77,0.0,10.0,13.1,35.2,0.0,2014,4,6,06-04-2014
68,68,2009-10-03,2.9928304347826087,68,2009-10-03,3.5918304347826084,141825,123387,36.0,390.0,780.0,62.218090000000004,19.9,25.2,10.8,0.0,53,0.0,0.0,21.7,38.9,50.0,2014,4,7,07-04-2014
69,69,2009-11-03,3.0080478260869574,69,2009-11-03,3.43178695652174,131120,133429,37.0,220.0,835.0,64.41245,17.3,21.0,15.6,0.0,86,16.26,8.7,14.8,42.4,59.4,2014,4,8,08-04-2014
70,70,2009-12-03,2.9050478260869568,70,2009-12-03,3.3797869565217398,173711,136661,32.0,365.0,730.0,61.23959,16.4,17.5,16.0,0.0,97,18.03,6.3,10.9,18.3,0.0,2014,4,9,09-04-2014
71,71,2009-03-13,3.0086130434782605,71,2009-03-13,3.4680913043478263,195241,135093,24.0,323.0,646.0,59.602540000000005,17.1,18.2,16.0,0.0,96,10.41,51.1,14.6,33.5,50.0,2014,4,10,10-04-2014
72,72,2009-03-14,2.9999608695652173,72,2009-03-14,3.4323086956521744,151807,136413,34.0,335.0,670.0,61.8664,14.1,20.4,8.0,0.0,76,0.0,10.0,14.6,27.8,0.0,2014,4,13,13-04-2014
73,73,2009-03-15,4.799482608695652,73,2009-03-15,5.070569565217392,157870,142700,44.0,340.0,744.0,56.0,14.3,20.3,8.1,0.0,69,0.0,10.0,16.9,27.8,55.4,2014,4,14,14-04-2014
74,74,2009-03-16,3.040917391304349,74,2009-03-16,3.621134782608695,132297,140512,42.0,357.5,715.0,62.217569999999995,14.0,19.5,8.0,0.0,77,0.25,9.8,14.8,25.9,0.0,2014,4,15,15-04-2014
75,75,2009-03-17,3.614569565217392,75,2009-03-17,3.494482608695652,162936,132608,28.0,345.0,690.0,59.44575,14.9,22.6,8.9,0.0,73,0.0,0.0,11.5,20.6,0.0,2014,4,16,16-04-2014
76,76,2009-03-18,3.04178695652174,76,2009-03-18,3.4948739130434787,121173,93748,34.0,371.0,742.0,62.02319,12.4,18.9,9.0,0.0,72,1.52,10.0,18.9,35.2,46.5,2014,4,18,18-04-2014
77,77,2009-03-19,3.6177869565217398,77,2009-03-19,3.4832652173913043,142356,102178,33.0,310.0,740.0,62.218090000000004,15.9,19.0,10.9,0.0,48,1.52,0.0,44.4,59.4,74.1,2014,4,21,21-04-2014
78,78,2009-03-20,3.0117869565217394,78,2009-03-20,3.4917434782608696,142142,99131,31.0,340.0,680.0,62.02319,13.3,17.3,9.5,0.0,87,3.05,9.7,11.7,37.0,0.0,2014,4,22,22-04-2014
79,79,2009-03-21,3.003917391304348,79,2009-03-21,3.417004347826087,128354,97841,35.0,365.0,730.0,62.0613,14.9,18.8,8.7,0.0,56,0.51,9.8,15.0,29.4,0.0,2014,4,23,23-04-2014
80,80,2009-03-22,3.0161347826086966,80,2009-03-22,3.5745260869565216,100598,96438,38.0,370.0,740.0,61.18629,15.7,20.1,3.5,0.0,47,0.0,0.0,25.9,37.0,50.0,2014,4,25,25-04-2014
81,81,2009-03-23,2.9959608695652182,81,2009-03-23,3.4114391304347818,111820,88587,42.0,340.0,690.0,60.0,10.8,16.1,4.8,0.0,61,0.0,10.0,17.6,35.2,55.4,2014,4,27,27-04-2014
82,82,2009-03-24,3.2697434782608696,82,2009-03-24,3.4011347826086964,130428,91423,36.0,415.0,830.0,63.68864,18.8,21.0,4.2,0.0,60,0.0,10.0,43.0,57.6,81.7,2014,4,28,28-04-2014
83,83,2009-03-25,2.977004347826088,83,2009-03-25,3.376004347826087,135291,119393,42.0,407.0,814.0,62.24631,12.8,20.0,8.6,0.0,87,7.87,9.5,17.2,37.0,0.0,2014,4,29,29-04-2014
84,84,2009-03-26,3.109265217391304,84,2009-03-26,3.3902217391304346,118789,91496,27.0,302.5,605.0,53.58988000000001,9.5,16.0,4.7,0.0,72,0.0,10.9,18.5,40.7,0.0,2014,4,30,30-04-2014
85,85,2009-03-27,3.10861304347826,85,2009-03-27,3.3673521739130434,152308,119156,29.0,400.0,800.0,61.38442,11.8,16.0,4.5,0.0,57,0.0,10.0,20.6,37.0,0.0,2014,5,1,01-05-2014
86,86,2009-03-28,3.118265217391305,86,2009-03-28,3.3219608695652174,108497,93005,32.0,357.0,714.0,61.82505,10.4,14.0,7.0,0.0,79,1.02,9.8,20.4,35.2,0.0,2014,5,4,04-05-2014
87,87,2009-03-29,3.1174826086956533,87,2009-03-29,3.536613043478261,146662,113831,43.0,260.0,720.0,62.1601,12.1,16.3,8.3,0.0,75,0.25,10.0,15.6,25.9,0.0,2014,5,5,05-05-2014
88,88,2009-03-30,3.123004347826087,88,2009-03-30,3.4783521739130436,159037,125872,37.0,380.0,760.0,61.33874,10.8,14.0,8.7,0.0,78,0.51,10.0,15.6,24.1,0.0,2014,5,6,06-05-2014
89,89,2009-03-31,3.1383086956521744,89,2009-03-31,3.338960869565218,175377,130349,41.0,385.0,770.0,60.757090000000005,8.1,14.5,3.0,0.0,73,0.25,10.0,14.1,25.9,0.0,2014,5,7,07-05-2014
90,90,2009-01-04,3.2166130434782603,90,2009-01-04,3.3698304347826094,158686,126723,46.0,370.0,740.0,61.051140000000004,11.0,17.5,2.3,0.0,58,0.0,0.0,14.3,31.7,48.2,2014,5,8,08-05-2014
91,91,2009-02-04,3.123613043478261,91,2009-02-04,3.392917391304348,135764,107127,43.0,380.0,760.0,62.217569999999995,12.2,19.0,7.0,0.0,80,0.51,10.0,12.4,18.3,0.0,2014,5,11,11-05-2014
92,92,2009-03-04,3.1093956521739132,92,2009-03-04,3.434830434782609,151348,93495,32.0,435.0,870.0,63.46745,12.1,18.5,6.0,0.0,76,0.0,10.0,10.7,22.2,0.0,2014,5,12,12-05-2014
93,93,2009-04-04,3.90865652173913,93,2009-04-04,4.35674347826087,160390,100782,36.0,210.0,760.0,57.0,13.5,20.4,52.0,0.0,72,0.0,10.0,14.6,25.9,40.7,2014,5,13,13-05-2014
94,94,2009-05-04,3.1618304347826087,94,2009-05-04,3.5648304347826096,161639,107579,40.0,392.5,785.0,61.74755,16.3,21.0,7.4,0.0,62,0.0,10.0,30.9,46.5,59.4,2014,5,14,14-05-2014
95,95,2009-06-04,3.1558739130434783,95,2009-06-04,3.480134782608696,182550,117588,34.0,450.0,900.0,63.994890000000005,17.2,21.6,13.1,0.0,56,0.0,0.0,36.5,46.5,81.7,2014,5,15,15-05-2014
96,96,2009-07-04,3.160004347826088,96,2009-07-04,3.925960869565219,169841,124603,31.0,367.5,735.0,61.39638000000001,17.1,21.2,15.0,0.0,61,0.0,0.0,32.6,40.7,59.4,2014,5,18,18-05-2014
97,97,2009-08-04,2.9710913043478264,97,2009-08-04,3.5745695652173914,189192,110125,34.0,395.0,790.0,61.39638000000001,17.2,23.0,12.0,0.0,66,0.0,0.0,29.1,42.4,51.9,2014,5,19,19-05-2014
98,98,2009-09-04,2.9689608695652168,98,2009-09-04,3.621221739130435,170749,125005,35.0,440.0,880.0,63.728,14.5,22.1,9.0,0.0,76,0.0,10.0,15.6,31.7,0.0,2014,5,20,20-05-2014
99,99,2009-10-04,3.512004347826088,99,2009-10-04,3.4748739130434783,149529,139233,30.0,390.0,816.0,62.02319,17.9,23.4,8.6,0.0,65,0.0,10.0,27.4,44.6,50.0,2014,5,21,21-05-2014
100,100,2009-11-04,2.806221739130436,100,2009-11-04,3.325178260869565,159983,144995,33.0,408.0,816.0,61.49553,17.8,21.0,14.6,0.0,65,3.3,9.8,22.2,40.7,0.0,2014,5,22,22-05-2014
101,101,2009-12-04,2.771439130434783,101,2009-12-04,3.0978304347826096,156381,121553,42.0,355.0,710.0,61.71865,15.1,19.5,8.8,0.0,83,0.0,10.0,22.4,44.6,48.2,2014,5,25,25-05-2014
102,102,2009-04-13,2.73265652173913,102,2009-04-13,3.048700000000001,159773,111676,30.0,400.0,800.0,61.49553,17.9,19.4,8.6,0.0,68,0.0,10.0,30.7,46.5,61.1,2014,5,26,26-05-2014
103,103,2009-04-14,2.9963521739130434,103,2009-04-14,3.3631347826086966,153580,115430,26.0,420.0,840.0,64.25565999999999,14.8,20.0,10.5,0.0,72,0.51,10.0,20.4,27.8,0.0,2014,5,27,27-05-2014
104,104,2009-04-15,3.0030043478260877,104,2009-04-15,3.4237869565217385,136008,119472,37.0,392.5,785.0,61.8664,12.2,18.3,7.0,0.0,79,0.25,10.0,15.6,27.8,48.2,2014,5,28,28-05-2014
105,105,2009-04-16,3.019613043478261,105,2009-04-16,3.371265217391304,133353,126111,38.0,430.0,815.0,61.0,9.9,15.0,4.6,0.0,78,0.0,10.0,8.1,16.5,0.0,2014,5,29,29-05-2014
106,106,2009-04-17,2.99565652173913,106,2009-04-17,3.4270043478260868,129886,114277,31.0,355.0,710.0,61.8664,12.0,14.3,8.7,0.0,94,5.33,82.0,5.9,16.5,0.0,2014,6,1,01-05-2014
107,107,2009-04-18,3.0121782608695646,107,2009-04-18,3.4311782608695656,155657,107957,36.0,392.5,785.0,61.33874,13.1,15.0,8.1,0.0,91,2.29,7.9,13.1,25.9,0.0,2014,6,2,02-05-2014
108,108,2009-04-19,3.0147,108,2009-04-19,3.502134782608697,147917,113862,31.0,387.5,775.0,62.0613,12.8,16.3,8.0,0.0,52,0.0,0.0,11.0,21.8,0.0,2014,6,3,03-05-2014
109,109,2009-04-20,3.0001347826086966,109,2009-04-20,3.5202217391304345,109375,85465,38.0,370.0,667.0,61.86317,12.9,18.0,82.0,0.0,54,3.3,51.3,12.0,25.9,0.0,2014,6,4,04-05-2014
110,110,2009-04-21,3.0247000000000006,110,2009-04-21,3.568569565217391,163713,120317,49.0,383.0,766.0,61.78566,9.9,14.9,7.0,0.0,56,0.0,0.0,7.4,18.3,0.0,2014,6,5,05-05-2014
111,111,2009-04-22,3.0280043478260867,111,2009-04-22,2.8072217391304344,169110,129900,41.0,370.0,740.0,60.95199,11.4,15.0,5.9,0.0,56,0.25,0.0,9.8,20.6,0.0,2014,6,6,06-05-2014
112,112,2009-04-23,3.0296130434782613,112,2009-04-23,4.139352173913044,145072,99621,34.0,350.0,700.0,61.22764,10.2,14.2,3.0,0.0,54,0.0,51.5,10.9,22.2,0.0,2014,6,9,09-05-2014
113,113,2009-04-24,3.186221739130435,113,2009-04-24,3.471526086956522,135776,104132,42.0,540.0,785.0,60.0,11.1,18.1,6.3,0.0,74,0.0,0.0,17.8,25.9,0.0,2014,6,10,10-05-2014
114,114,2009-04-25,3.000873913043479,114,2009-04-25,3.3855260869565216,150783,118627,43.0,450.0,900.0,63.05191,12.4,16.2,6.4,0.0,74,0.0,0.0,25.2,42.4,57.6,2014,6,11,11-05-2014
115,115,2009-04-26,3.5579173913043483,115,2009-04-26,3.725786956521739,150680,129968,39.0,435.0,870.0,63.77547,12.7,15.0,9.5,0.0,75,3.3,10.3,24.1,42.4,63.0,2014,6,12,12-05-2014
116,116,2009-04-27,2.9749173913043485,116,2009-04-27,3.593482608695652,144276,106465,35.0,330.0,660.0,61.8664,10.9,14.3,7.6,0.0,79,0.51,0.0,18.0,21.8,0.0,2014,6,15,15-05-2014
117,117,2009-04-28,3.751178260869565,117,2009-04-28,4.3328304347826085,147029,109107,42.0,250.0,711.0,62.35501,112.0,16.0,8.3,0.0,52,1.52,51.8,19.4,29.4,0.0,2014,6,16,16-05-2014
118,118,2009-04-29,4.515221739130435,118,2009-04-29,4.5213086956521735,145058,115038,34.0,382.0,764.0,61.8664,11.6,15.1,8.7,0.0,76,0.0,0.0,11.3,20.6,0.0,2014,6,17,17-05-2014
119,119,2009-04-30,3.3410478260869563,119,2009-04-30,3.604917391304347,156697,116767,33.0,346.5,693.0,60.66186,9.8,13.1,6.0,0.0,71,0.0,10.6,12.6,38.9,46.5,2014,6,18,18-05-2014
120,120,2009-01-05,3.014352173913044,120,2009-01-05,3.5426565217391297,152522,118374,35.0,368.5,737.0,61.38442,10.1,11.0,5.4,0.0,52,0.0,0.0,31.1,44.6,61.1,2014,6,19,19-05-2014
121,121,2009-02-05,3.219482608695653,121,2009-02-05,3.420221739130436,143024,119182,38.0,330.0,750.0,58.0,12.4,14.5,7.7,0.0,75,0.0,0.0,35.9,68.3,55.2,2014,6,22,22-05-2014
